,x_1,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_22,x_23,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58
1,29,1,7,60,85,0,0,1,0,0,1,0,0,2,0,0,12,35,10,1,43,17,64,105,30,11,0,0,0,0,79,28,340,48,1,9,9,3,0,3,54,16,0,0,0,0,0,0,0,0,0,0,0,45,39
2,27,0,0,64,178,0,0,0,0,0,2,1,0,2,0,0,12,75,12,1,50,12,90,183,40,8,0,0,0,0,69,30,430,73,0,9,9,3,0,5,51,16,0,0,0,0,0,0,0,0,0,0,0,46,42
3,27,0,0,60,102,0,0,0,0,0,1,0,0,0,0,0,12,35,10,1,57,14,70,121,27,12,0,0,0,0,84,29,450,76,0,3,6,2,0,4,41,13,0,0,0,1,0,0,0,0,0,0,0,45,40
4,37,0,0,65,174,0,0,0,0,0,1,0,0,1,0,0,11,35,12,1,43,10,80,185,39,10,0,0,0,0,82,30,440,78,1,8,9,2,0,8,70,16,0,0,0,0,0,0,0,0,0,0,0,47,40
5,24,20,14,63,129,0,0,0,0,0,1,0,0,0,0,0,9,35,15,1,33,14,70,160,28,7,0,0,0,1,85,35,360,71,1,5,8,0,2,3,65,18,0,0,0,2,0,0,0,0,0,0,0,47,43
6,27,40,15,63,135,0,0,0,0,0,1,1,2,2,0,0,9,45,10,1,40,15,64,160,31,9,0,0,0,1,81,28,515,56,1,7,9,2,0,1,63,20,0,0,0,0,0,0,0,0,0,0,0,45,44
7,26,20,8,69,140,0,0,0,1,0,0,0,1,0,0,0,10,45,8,1,53,16,60,160,25,10,0,0,0,0,87,26,440,62,1,8,10,2,0,5,65,20,0,0,0,0,0,0,0,0,0,0,0,46,39
8,33,0,0,60,110,0,0,0,1,0,0,1,0,0,0,0,12,45,10,1,53,10,78,127,32,10,0,1,0,0,79,31,450,54,0,9,10,3,0,5,55,18,0,0,0,0,0,0,0,0,0,0,0,45,41
9,28,3,5,61,160,0,0,0,0,0,3,1,1,1,1,1,9,55,10,1,43,12,80,190,27,8,0,0,0,0,80,30,420,53,1,7,9,3,0,3,60,18,0,0,0,0,0,0,0,0,0,0,0,48,41
10,31,0,0,63,114,0,1,0,0,0,0,0,0,0,0,0,12,75,14,1,83,13,60,126,32,12,0,0,0,0,69,29,510,64,1,9,10,3,0,9,49,15,0,0,0,0,0,0,0,0,0,0,0,48,36
11,21,20,5,60,100,0,0,0,0,0,2,0,0,0,0,0,12,55,10,1,67,11,72,117,22,12,0,0,0,0,81,33,540,67,0,7,9,2,0,7,60,20,0,0,0,0,0,0,0,0,0,0,0,44,40
12,31,0,0,62,130,0,0,0,0,0,0,0,0,0,0,0,12,55,8,1,67,14,80,152,30,12,0,0,0,0,88,35,440,92,0,8,9,3,0,5,66,20,0,0,0,0,0,0,0,0,0,0,0,46,40
13,39,8,20,63,125,0,0,0,0,0,0,1,0,0,1,0,14,35,8,1,47,14,60,137,54,12,2,4,0,0,80,29,180,58,0,1,3,7,0,1,66,18,3,0,0,2,0,0,0,0,0,0,4,43,40
14,25,20,10,64,151,2,0,1,0,0,0,1,0,0,1,0,8,45,10,1,73,13,64,167,26,12,1,0,0,0,89,40,510,61,1,9,9,2,0,6,61,17,0,0,0,0,0,0,0,0,0,0,0,49,41
15,34,20,15,64,130,0,3,2,0,0,1,2,0,0,0,0,12,85,13,1,73,11,64,154,29,12,0,1,0,0,85,40,625,74,0,8,9,0,2,4,56,18,0,0,0,0,0,0,0,0,0,0,0,46,48
16,30,15,15,63,118,0,0,0,0,0,0,3,0,0,0,0,12,55,5,1,73,11,74,136,32,12,0,1,0,0,84,35,360,45,0,9,9,2,0,6,63,19,0,0,0,0,0,0,0,0,0,0,0,46,40
17,23,10,10,63,108,0,0,2,0,0,0,0,0,0,0,0,12,35,10,1,43,13,70,129,24,10,0,1,0,0,82,34,500,58,0,7,9,3,0,3,60,16,0,0,0,0,0,0,0,0,0,0,0,43,42
18,21,10,5,63,122,0,0,2,2,0,0,1,0,1,0,0,11,55,17,1,45,14,70,141,24,9,1,0,0,0,82,40,500,68,0,9,9,3,0,7,56,18,0,0,0,0,0,0,0,0,0,0,0,44,43
19,39,20,20,65,156,0,0,0,0,0,2,0,0,0,0,0,10,65,20,1,57,15,70,177,35,12,1,2,0,0,78,35,510,98,0,6,8,4,0,3,78,21,5,0,0,0,0,0,0,0,0,0,4,44,41
20,28,30,12,59,130,0,0,0,0,0,0,0,0,1,0,0,12,35,8,1,47,11,68,151,33,12,0,1,0,0,87,34,400,67,1,9,9,0,3,1,58,16,0,0,0,0,0,0,0,0,0,0,0,46,40
21,30,20,16,61,125,0,0,0,0,0,0,1,0,0,0,0,12,45,8,1,53,11,74,144,33,11,0,2,0,0,81,33,410,68,0,8,9,0,2,7,73,21,0,0,0,0,0,0,0,0,0,0,0,45,39
22,24,0,0,66,140,0,0,2,0,0,0,1,0,0,1,0,10,35,12,1,37,12,80,168,30,10,0,1,0,0,88,40,470,89,0,8,9,3,0,9,72,20,0,0,0,0,0,0,0,0,0,0,0,47,39
23,27,0,0,65,135,0,0,0,1,0,1,2,0,1,0,0,14,65,10,1,83,13,62,169,29,18,0,0,0,0,84,35,580,81,1,1,7,2,0,8,61,17,0,0,0,1,0,0,0,0,0,0,0,49,40
24,26,0,0,62,114,0,0,2,0,0,0,0,0,1,0,0,12,55,10,1,80,12,76,122,27,12,0,0,0,0,88,36,530,64,1,3,8,2,0,3,46,16,0,0,0,1,0,0,0,0,0,0,0,46,39
25,23,0,8,66,116,0,1,0,0,0,0,0,0,0,1,0,13,45,10,1,83,12,72,133,30,18,0,0,0,0,77,32,520,67,0,9,9,0,2,4,55,16,0,1,0,0,0,0,0,0,0,0,0,45,41
26,17,20,3,62,104,0,0,2,0,0,0,1,0,0,0,0,8,35,15,1,47,10,70,136,23,11,1,0,0,0,84,28,310,48,0,8,9,2,0,3,60,19,0,0,0,0,0,0,0,0,0,0,0,43,40
27,27,20,12,62,121,0,1,0,0,0,0,0,0,0,0,0,13,45,18,1,50,12,70,132,44,11,2,0,1,1,77,25,470,86,0,9,9,2,0,4,65,21,0,0,0,0,0,0,0,0,0,0,0,44,40
28,22,10,6,64,122,0,0,0,0,0,0,0,0,2,0,0,12,45,17,1,43,12,60,144,28,7,0,0,0,0,84,29,550,69,0,2,9,3,0,3,65,19,0,0,0,0,0,0,0,0,0,0,0,47,40
29,37,20,18,65,165,4,2,0,0,0,2,1,0,0,0,0,12,65,6,1,80,13,90,166,39,12,1,2,0,1,79,27,510,98,0,8,8,2,0,3,66,18,5,0,0,0,0,0,0,0,0,0,4,44,41
30,20,36,8,63,120,0,0,0,1,0,0,0,0,0,0,0,9,55,10,1,47,11,70,131,23,9,0,0,0,0,81,31,350,65,0,9,9,2,0,3,52,15,0,0,0,0,0,0,0,0,0,0,0,44,39
31,24,0,0,64,115,0,0,2,0,0,0,1,0,0,0,1,12,35,10,1,43,16,70,136,23,10,0,0,0,0,83,34,350,69,1,8,9,2,0,3,63,18,0,0,0,0,0,0,0,0,0,0,0,46,41
